Marine Recreational Information Program Query Results

Your Query Parameters:

·Query: MRIP CATCH TIME SERIES

·Year: 1981 - 2018

·Wave: BY WAVE

·Geographic Area: NORTH ATLANTIC BY STATE

·Species: SUMMER FLOUNDER                                                                                                                                                                                         

·Fishing Mode: ALL MODES BY MODE

·Fishing Area: ALL AREAS BY AREA

·Type of Catch: TOTAL CATCH (TYPE A + B1 + B2)

Information:

·NUMBERS OF FISH

PSE (proportional standard error) is automatically included in all outputs. It expresses the standard error of an estimate as a percentage of the estimate and is a

measure of precision.

The following cases have been excluded from results below due to insufficient sample sizes:

CT-2013-CHARTER                           ,RI-2013-CHARTER                           ,CT-2014-CHARTER                           ,CT-2015-CHARTER                           ,

Estimates replaced by a * indicates all estimates excluded.

Estimates including these cases are available by running this query at the annual level.

"Estimate Status","Year","Wave","State","Common Name","Fishing Mode","Fishing Area","Total Catch (A+B1+B2)","PSE"
"FINAL",1985,"JULY/AUGUST","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)",402891,64.3
"FINAL",1985,"JULY/AUGUST","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",52010,55
"FINAL",1985,"SEPTEMBER/OCTOBER","CONNECTICUT","SUMMER FLOUNDER","SHORE","INLAND",2312,99.7
"FINAL",1985,"SEPTEMBER/OCTOBER","CONNECTICUT","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)",4682,95.2
"FINAL",1985,"SEPTEMBER/OCTOBER","CONNECTICUT","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",36703,85.8
"FINAL",1985,"SEPTEMBER/OCTOBER","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",9193,72.3
"FINAL",1986,"MAY/JUNE","CONNECTICUT","SUMMER FLOUNDER","PARTY/CHARTER BOAT","OCEAN (> 3 MI)",1806,108.8
"FINAL",1986,"MAY/JUNE","CONNECTICUT","SUMMER FLOUNDER","PARTY/CHARTER BOAT","INLAND",1608,88.1
"FINAL",1986,"MAY/JUNE","CONNECTICUT","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",41456,85.1
"FINAL",1986,"MAY/JUNE","CONNECTICUT","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",362847,60
"FINAL",1986,"MAY/JUNE","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",18155,72.8
"FINAL",1986,"MAY/JUNE","RHODE ISLAND","SUMMER FLOUNDER","PARTY/CHARTER BOAT","OCEAN (> 3 MI)",34493,97.3
"FINAL",1986,"MAY/JUNE","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",709824,53.7
"FINAL",1986,"JULY/AUGUST","CONNECTICUT","SUMMER FLOUNDER","SHORE","OCEAN (<= 3 MI)",15608,95.5
"FINAL",1986,"JULY/AUGUST","CONNECTICUT","SUMMER FLOUNDER","SHORE","INLAND",23050,105.5
